name,price,old_price,discount_percent,dimensions,sleeping_dimensions,url,page_number,scraped_at
Диван прямой Филс-Мини 120 Velvet Terra,41150.0,58790.0,30.0,,198 x 120 x 36,https://www.divan.ru/product/диван-прямой-филс-мини-120-velvet-terra,1,2025-08-26 07:53:45.242834
Диван прямой Льери Мини Velvet Yellow,95540.0,136700.0,30.0,200 x 105 x 85,200 x 145 x 40,https://www.divan.ru/product/диван-прямой-льери-мини-velvet-yellow,3,2025-08-26 07:53:45.242834
Диван прямой Лонди Bunny Milk,80840.0,95540.0,15.0,200 x 105 x 85,,https://www.divan.ru/product/диван-прямой-лонди-bunny-milk,3,2025-08-26 07:53:45.242834
Диван прямой Клаймар Velvet Terra,92600.0,124940.0,25.0,180 x 120 x 80,180 x 120 x 35,https://www.divan.ru/product/диван-прямой-клаймар-velvet-terra,2,2025-08-26 07:53:45.242834
Диван прямой Нумо-Мини 120 Textile Light,39680.0,64670.0,38.0,195 x 110 x 88,195 x 150 x 42,https://www.divan.ru/product/диван-прямой-нумо-мини-120-textile-light,2,2025-08-26 07:53:45.242834
Диван прямой Массе-М Мини Velvet Navy Blue,73490.0,86720.0,15.0,195 x 110 x 88,,https://www.divan.ru/product/диван-прямой-массе-м-мини-velvet-navy-blue,2,2025-08-26 07:53:45.242834
Диван прямой Аронт Мини Velvet Smoke,83780.0,105830.0,20.0,252 x 115 x 83,200 x 155 x 38,https://www.divan.ru/product/диван-прямой-аронт-мини-velvet-smoke,1,2025-08-26 07:53:45.242834
Диван прямой Спейс Velvet Olive,99950.0,136700.0,26.0,175 x 155 x 92,200 x 160 x 45,https://www.divan.ru/product/диван-прямой-спейс-velvet-olive,1,2025-08-26 07:53:45.242834
Диван угловой Нордика мини Velvet Yellow,88190.0,117590.0,25.0,205 x 112 x 92,205 x 160 x 46,https://www.divan.ru/product/диван-угловой-нордика-мини-velvet-yellow,1,2025-08-26 07:53:45.242834
Диван прямой Мелоу Velvet Eclipse,80840.0,101420.0,20.0,205 x 112 x 92,198 x 120 x 36,https://www.divan.ru/product/диван-прямой-мелоу-velvet-eclipse,1,2025-08-26 07:53:45.242834
Диван прямой Мелоу Velvet Eclipse,80840.0,101420.0,20.0,205 x 112 x 92,198 x 120 x 36,https://www.divan.ru/product/диван-прямой-мелоу-velvet-eclipse,1,2025-08-26 07:46:17.537034
Диван прямой Льери Мини Velvet Yellow,95540.0,136700.0,30.0,200 x 105 x 85,200 x 145 x 40,https://www.divan.ru/product/диван-прямой-льери-мини-velvet-yellow,3,2025-08-26 07:46:17.537034
Диван прямой Лонди Bunny Milk,80840.0,95540.0,15.0,200 x 105 x 85,,https://www.divan.ru/product/диван-прямой-лонди-bunny-milk,3,2025-08-26 07:46:17.537034
Диван прямой Клаймар Velvet Terra,92600.0,124940.0,25.0,180 x 120 x 80,180 x 120 x 35,https://www.divan.ru/product/диван-прямой-клаймар-velvet-terra,2,2025-08-26 07:46:17.537034
Диван прямой Нумо-Мини 120 Textile Light,39680.0,64670.0,38.0,195 x 110 x 88,195 x 150 x 42,https://www.divan.ru/product/диван-прямой-нумо-мини-120-textile-light,2,2025-08-26 07:46:17.537034
Диван прямой Массе-М Мини Velvet Navy Blue,73490.0,86720.0,15.0,195 x 110 x 88,,https://www.divan.ru/product/диван-прямой-массе-м-мини-velvet-navy-blue,2,2025-08-26 07:46:17.537034
Диван прямой Аронт Мини Velvet Smoke,83780.0,105830.0,20.0,252 x 115 x 83,200 x 155 x 38,https://www.divan.ru/product/диван-прямой-аронт-мини-velvet-smoke,1,2025-08-26 07:46:17.537034
Диван прямой Спейс Velvet Olive,99950.0,136700.0,26.0,175 x 155 x 92,200 x 160 x 45,https://www.divan.ru/product/диван-прямой-спейс-velvet-olive,1,2025-08-26 07:46:17.537034
Диван угловой Нордика мини Velvet Yellow,88190.0,117590.0,25.0,205 x 112 x 92,205 x 160 x 46,https://www.divan.ru/product/диван-угловой-нордика-мини-velvet-yellow,1,2025-08-26 07:46:17.537034
Диван прямой Филс-Мини 120 Velvet Terra,41150.0,58790.0,30.0,,198 x 120 x 36,https://www.divan.ru/product/диван-прямой-филс-мини-120-velvet-terra,1,2025-08-26 07:46:17.537034
Диван прямой Филс-Мини 120 Velvet Terra,41150.0,58790.0,30.0,198 x 120 x 36 см,198 x 120 x 36 см,https://www.divan.ru/product/divan-pryamoj-fils-mini-120-velvet-terra,1,2025-08-26 05:37:56.343158
Диван прямой Мелоу Velvet Eclipse,80840.0,101420.0,20.0,205 x 112 x 92 см,205 x 160 x 46 см,https://www.divan.ru/product/divan-pryamoj-melou-velvet-eclipse,1,2025-08-26 05:37:56.343158
"Диван ""Уют"" прямой с механизмом еврокнижка",35000.0,45000.0,22.0,180x75x80 см,180x200 см,https://www.divan.ru/product/test2,1,2025-08-26 05:28:52.865043
"Диван ""Комфорт"" угловой с подлокотниками",45000.0,60000.0,25.0,200x80x85 см,160x200 см,https://www.divan.ru/product/test1,1,2025-08-26 05:28:52.865043
Диван прямой Эби Мини Linia Mint,88190.0,126410.0,30.0,180 x 108 x 87 см,202 x 140 x 42 см,https://www.divan.ru/product/divan-abi-mini-linia-mint,1,2025-08-26 04:57:49.491974
Диван прямой Филс-Мини 120 Velvet Terra,41150.0,58790.0,30.0,,,https://www.divan.ru/product/divan-pryamoj-fils-mini-120-velvet-terra,1,2025-08-26 04:57:49.491974
Диван прямой Мелоу Velvet Eclipse,80840.0,101420.0,20.0,205 x 112 x 92 см,205 x 160 x 46 см,https://www.divan.ru/product/divan-pryamoj-melou-velvet-eclipse,1,2025-08-26 04:57:49.491974
Диван угловой Нордика мини Velvet Yellow,88190.0,117590.0,25.0,175 x 155 x 92 см,200 x 160 x 45 см,https://www.divan.ru/product/divan-uglovoj-nordika-mini-velvet-yellow,1,2025-08-26 04:57:49.491974
Диван прямой Спейс Velvet Olive,99950.0,136700.0,26.0,252 x 115 x 83 см,200 x 155 x 38 см,https://www.divan.ru/product/divan-spejs-velvet-olive,1,2025-08-26 04:57:49.491974
Диван прямой Аронт Мини Velvet Smoke,83780.0,105830.0,20.0,186 x 105 x 73 см,203 x 140 x 45 см,https://www.divan.ru/product/divan-pryamoj-aront-mini-velvet-smoke,1,2025-08-26 04:57:49.491974
Диван прямой Массе-М Мини Velvet Navy Blue,73490.0,86720.0,15.0,171 x 104 x 88 см,196 x 140 x 46 см,https://www.divan.ru/product/divan-pryamoj-masse-m-mini-velvet-navy-blue,1,2025-08-26 04:57:49.491974
Диван прямой Нумо-Мини 120 Textile Light,39680.0,64670.0,38.0,,,https://www.divan.ru/product/divan-numo-mini-textile-light,1,2025-08-26 04:57:49.491974
Диван прямой Клаймар Velvet Terra,92600.0,124940.0,25.0,228 x 117 x 90 см,201 x 157 x 45 см,https://www.divan.ru/product/divan-klajmar-velvet-terra,1,2025-08-26 04:57:49.491974
Диван прямой Лонди Bunny Milk,80840.0,95540.0,15.0,168 x 90 x 75 см,,https://www.divan.ru/product/divan-londi-bunny-milk,1,2025-08-26 04:57:49.491974
Диван прямой Льери Мини Velvet Yellow,95540.0,136700.0,30.0,164 x 105 x 85 см,200 x 140 x 44 см,https://www.divan.ru/product/divan-leri-mini-velvet-yellow,1,2025-08-26 04:57:49.491974
Диван угловой Онте Bucle Eclipse,161690.0,191090.0,15.0,240 x 170 x 83 см,199 x 134 x 45 см,https://www.divan.ru/product/divan-uglovoj-onte-bucle-eclipse,1,2025-08-26 04:57:49.491974
Диван модульный Спейс-М 1 Lazy Latte,124910.0,145490.0,14.0,272 x 112 x 83 см,249 x 156 x 39 см,https://www.divan.ru/product/divan-modulnyj-spejs-m-1-lazy-latte,1,2025-08-26 04:57:49.491974
Диван прямой Эби Velvet Coral,98480.0,152870.0,35.0,254 x 122 x 87 см,200 x 158 x 42 см,https://www.divan.ru/product/divan-ebi-velvet-coral,1,2025-08-26 04:57:49.491974
Диван модульный Риббл-1 Bucle Mint,116110.0,,,243 x 108 x 72 см,,https://www.divan.ru/product/modulnyj-divan-ribbl-1-bucle-mint,1,2025-08-26 04:57:49.491974
Диван прямой Виена Velvet Smoke,95540.0,129350.0,26.0,258 x 119 x 86 см,200 x 158 x 40 см,https://www.divan.ru/product/divan-viena-time-grey,1,2025-08-26 04:57:49.491974
Кушетка Ринт Bucle Yellow,32330.0,35270.0,8.0,130 x 55 x 84 см,,https://www.divan.ru/product/kushetka-rint-bucle-yellow,1,2025-08-26 04:57:49.491974
Диван модульный Brera-7 Velour Mix,263090.0,,,286 x 155 x 75 см,,https://www.divan.ru/product/modulnyj-divan-brera-7-velour-mix,1,2025-08-26 04:57:49.491974
Диван угловой Эдвин Velvet Terra,113180.0,151400.0,25.0,260 x 156 x 90 см,199 x 138 x 47 см,https://www.divan.ru/product/divan-uglovoj-edvin-velvet-terra,1,2025-08-26 04:57:49.491974
Диван угловой Аллаум Linia Stone,83780.0,105830.0,20.0,214 x 152 x 94 см,200 x 135 x 45 см,https://www.divan.ru/product/divan-uglovoj-allaum-linia-stone,1,2025-08-26 04:57:49.491974
Диван модульный Спейс-М 5 Lazy Midnight,290980.0,342430.0,15.0,439 x 235 x 83 см,396 x 156 x 39 см,https://www.divan.ru/product/divan-modulnyj-spejs-m-5-lazy-midnight,1,2025-08-26 04:57:49.491974
Диван прямой Сваут Velvet Mustard,99950.0,127880.0,21.0,215 x 104 x 86 см,196 x 150 x 43 см,https://www.divan.ru/product/divan-svaut-velvet-mustard,1,2025-08-26 04:57:49.491974
Диван угловой Аронт Мини Velvet Pink,88190.0,110240.0,20.0,186 x 151 x 73 см,206 x 141 x 44 см,https://www.divan.ru/product/divan-uglovoj-aront-mini-velvet-pink,1,2025-08-26 04:57:49.491974
Диван модульный Маиль-3 Textile Latte,255740.0,,,387 x 170 x 81 см,319 x 148 x 44 см,https://www.divan.ru/product/divan-modulnyj-mail-3-textile-latte,1,2025-08-26 04:57:49.491974
Диван прямой Инес Vertical Blue,70550.0,108770.0,35.0,150 x 96 x 88 см,198 x 120 x 47 см,https://www.divan.ru/product/divan-ines-vertical-blue,1,2025-08-26 04:57:49.491974
Диван угловой Дарол Velvet Silver,101420.0,145520.0,30.0,267 x 154 x 100 см,209 x 139 x 42 см,https://www.divan.ru/product/divan-uglovoj-darol-velvet-silver,1,2025-08-26 04:57:49.491974
Диван угловой Нордика мини Velvet Coral,88190.0,117590.0,25.0,175 x 155 x 92 см,200 x 160 x 45 см,https://www.divan.ru/product/divan-uglovoj-nordika-mini-velvet-coral,1,2025-08-26 04:57:49.491974
Диван прямой Бонент Velvet Eclipse,122000.0,176390.0,30.0,250 x 116 x 82 см,190 x 150 x 44 см,https://www.divan.ru/product/divan-bonent-velvet-eclipse,1,2025-08-26 04:57:49.491974
Диван прямой Роттердам Velvet Yellow,41150.0,51440.0,20.0,148 x 86 x 87 см,,https://www.divan.ru/product/divan-rotterdam-velvet-yellow-new,1,2025-08-26 04:57:49.491974
Диван прямой Бруквиль Velvet Blue,80840.0,108770.0,25.0,171 x 102 x 94 см,201 x 140 x 46 см,https://www.divan.ru/product/divan-brukvil-velvet-blue,1,2025-08-26 04:57:49.491974
Диван прямой Слипсон Мини Linia Stone,70550.0,88190.0,20.0,157 x 105 x 104 см,199 x 139 x 44 см,https://www.divan.ru/product/divan-slipson-mini-linia-stone,1,2025-08-26 04:57:49.491974
Диван угловой Динс Velvet Navy Blue,95540.0,120530.0,20.0,219 x 142 x 90 см,194 x 138 x 46 см,https://www.divan.ru/product/divan-uglovoj-dins-velvet-navy-blue-old-10-04-2024,1,2025-08-26 04:57:49.491974
Диван прямой Кейсес Velvet Grey,39680.0,54380.0,27.0,135 x 78 x 87 см,197 x 120 x 34 см,https://www.divan.ru/product/divan-kejses-velvet-grey,1,2025-08-26 04:57:49.491974
Диван прямой Стаус Velvet Caramel,48500.0,60260.0,19.0,201 x 92 x 89 см,201 x 135 x 42 см,https://www.divan.ru/product/divan-staus-velvet-caramel,1,2025-08-26 04:57:49.491974
Диван прямой Види Textile Ocean,36740.0,66140.0,44.0,146 x 78 x 87 см,197 x 120 x 34 см,https://www.divan.ru/product/divan-vidi-textile-ocean,1,2025-08-26 04:57:49.491974
Диван прямой Бонс-Т Velvet Emerald,63200.0,91130.0,30.0,197 x 100 x 90 см,190 x 120 x 44 см,https://www.divan.ru/product/divan-bons-t-velvet-emerald,1,2025-08-26 04:57:49.491974
Диван прямой Виенсо Bucle Sand,117590.0,139640.0,15.0,210 x 90 x 77 см,173 x 57 x 45 см,https://www.divan.ru/product/divan-vienso-bucle-sand,1,2025-08-26 04:57:49.491974
Диван прямой Лави Velvet Yellow,67610.0,97010.0,30.0,141 x 104 x 87 см,198 x 120 x 40 см,https://www.divan.ru/product/divan-lavi-velvet-yellow,1,2025-08-26 04:57:49.491974
Диван прямой Риен Velvet Smoke,83780.0,110240.0,24.0,216 x 90 x 86 см,190 x 111 x 44 см,https://www.divan.ru/product/divan-rien-velvet-smoke,1,2025-08-26 04:57:49.491974
Диван угловой Вильен мини Velvet Terra,92600.0,124940.0,25.0,180 x 155 x 98 см,200 x 140 x 45 см,https://www.divan.ru/product/divan-uglovoj-vilen-mini-velvet-terra,1,2025-08-26 04:57:49.491974
Диван прямой Пайпел Bucle Grafit,88190.0,104360.0,15.0,160 x 87 x 74 см,,https://www.divan.ru/product/divan-pajpel-bucle-grafit,1,2025-08-26 04:57:49.491974
Диван прямой Мейлон Velvet Beige,80840.0,108770.0,25.0,250 x 104 x 85 см,200 x 156 x 42 см,https://www.divan.ru/product/divan-mejlon-velvet-beige,1,2025-08-26 04:57:49.491974
Диван прямой Марей Soft Grey,142580.0,179330.0,20.0,259 x 110 x 88 см,192 x 160 x 44 см,https://www.divan.ru/product/divan-marej-soft-grey,1,2025-08-26 04:57:49.491974
Диван прямой Сорен Textile Yellow,102890.0,122000.0,15.0,177 x 96 x 86 см,,https://www.divan.ru/product/divan-soren-textile-yellow,1,2025-08-26 04:57:49.491974
Диван прямой Лачи Velvet Yellow,51440.0,69080.0,25.0,198 x 92 x 90 см,198 x 130 x 45 см,https://www.divan.ru/product/divan-lachi-velvet-yellow,1,2025-08-26 04:57:49.491974
Диван прямой Данста Velvet Light,102890.0,138170.0,25.0,215 x 102 x 83 см,195 x 150 x 45 см,https://www.divan.ru/product/divan-dansta-velvet-light,1,2025-08-26 04:57:49.491974
Диван угловой Шера Velvet Olive,161690.0,191090.0,15.0,320 x 155 x 99 см,202 x 153 x 47 см,https://www.divan.ru/product/divan-uglovoj-shera-velvet-olive,1,2025-08-26 04:57:49.491974
Диван прямой Викс Textile Grafit,36740.0,39680.0,7.0,198 x 90 x 83 см,198 x 130 x 40 см,https://www.divan.ru/product/divan-viks-textile-grafit,1,2025-08-26 04:57:49.491974
Диван 49,,,,,,,1,2025-08-26 04:57:49.491974
Диван 50,,,,,,,1,2025-08-26 04:57:49.491974
Диван 51,,,,,,,1,2025-08-26 04:57:49.491974
Диван 52,,,,,,,1,2025-08-26 04:57:49.491974
Диван 53,,,,,,,1,2025-08-26 04:57:49.491974
Диван прямой Нумо-Мини 120 Textile Light,39680.0,64670.0,38.0,,,https://www.divan.ru/product/divan-numo-mini-textile-light,1,2025-08-26 04:49:45.066586
Диван угловой Нордика мини Velvet Coral,88190.0,117590.0,25.0,175 x 155 x 92 см,200 x 160 x 45 см,https://www.divan.ru/product/divan-uglovoj-nordika-mini-velvet-coral,1,2025-08-26 04:49:45.066586
Диван прямой Бонент Velvet Eclipse,122000.0,176390.0,30.0,250 x 116 x 82 см,190 x 150 x 44 см,https://www.divan.ru/product/divan-bonent-velvet-eclipse,1,2025-08-26 04:49:45.066586
Диван прямой Эби Мини Linia Mint,88190.0,126410.0,30.0,180 x 108 x 87 см,202 x 140 x 42 см,https://www.divan.ru/product/divan-abi-mini-linia-mint,1,2025-08-26 04:49:45.066586
Диван прямой Роттердам Velvet Yellow,41150.0,51440.0,20.0,148 x 86 x 87 см,,https://www.divan.ru/product/divan-rotterdam-velvet-yellow-new,1,2025-08-26 04:49:45.066586
Диван прямой Бруквиль Velvet Blue,80840.0,108770.0,25.0,171 x 102 x 94 см,201 x 140 x 46 см,https://www.divan.ru/product/divan-brukvil-velvet-blue,1,2025-08-26 04:49:45.066586
Диван прямой Слипсон Мини Linia Stone,70550.0,88190.0,20.0,157 x 105 x 104 см,199 x 139 x 44 см,https://www.divan.ru/product/divan-slipson-mini-linia-stone,1,2025-08-26 04:49:45.066586
Диван угловой Динс Velvet Navy Blue,95540.0,120530.0,20.0,219 x 142 x 90 см,194 x 138 x 46 см,https://www.divan.ru/product/divan-uglovoj-dins-velvet-navy-blue-old-10-04-2024,1,2025-08-26 04:49:45.066586
Диван прямой Кейсес Velvet Grey,39680.0,54380.0,27.0,135 x 78 x 87 см,197 x 120 x 34 см,https://www.divan.ru/product/divan-kejses-velvet-grey,1,2025-08-26 04:49:45.066586
Диван прямой Стаус Velvet Caramel,48500.0,60260.0,19.0,201 x 92 x 89 см,201 x 135 x 42 см,https://www.divan.ru/product/divan-staus-velvet-caramel,1,2025-08-26 04:49:45.066586
Диван прямой Види Textile Ocean,36740.0,66140.0,44.0,146 x 78 x 87 см,197 x 120 x 34 см,https://www.divan.ru/product/divan-vidi-textile-ocean,1,2025-08-26 04:49:45.066586
Диван прямой Бонс-Т Velvet Emerald,63200.0,91130.0,30.0,197 x 100 x 90 см,190 x 120 x 44 см,https://www.divan.ru/product/divan-bons-t-velvet-emerald,1,2025-08-26 04:49:45.066586
Диван прямой Виенсо Bucle Sand,117590.0,139640.0,15.0,210 x 90 x 77 см,173 x 57 x 45 см,https://www.divan.ru/product/divan-vienso-bucle-sand,1,2025-08-26 04:49:45.066586
Диван прямой Лави Velvet Yellow,67610.0,97010.0,30.0,141 x 104 x 87 см,198 x 120 x 40 см,https://www.divan.ru/product/divan-lavi-velvet-yellow,1,2025-08-26 04:49:45.066586
Диван прямой Риен Velvet Smoke,83780.0,110240.0,24.0,216 x 90 x 86 см,190 x 111 x 44 см,https://www.divan.ru/product/divan-rien-velvet-smoke,1,2025-08-26 04:49:45.066586
Диван угловой Дарол Velvet Silver,101420.0,145520.0,30.0,267 x 154 x 100 см,209 x 139 x 42 см,https://www.divan.ru/product/divan-uglovoj-darol-velvet-silver,1,2025-08-26 04:49:45.066586
Диван угловой Вильен мини Velvet Terra,92600.0,124940.0,25.0,180 x 155 x 98 см,200 x 140 x 45 см,https://www.divan.ru/product/divan-uglovoj-vilen-mini-velvet-terra,1,2025-08-26 04:49:45.066586
Диван прямой Пайпел Bucle Grafit,88190.0,104360.0,15.0,160 x 87 x 74 см,,https://www.divan.ru/product/divan-pajpel-bucle-grafit,1,2025-08-26 04:49:45.066586
Диван прямой Мейлон Velvet Beige,80840.0,108770.0,25.0,250 x 104 x 85 см,200 x 156 x 42 см,https://www.divan.ru/product/divan-mejlon-velvet-beige,1,2025-08-26 04:49:45.066586
Диван прямой Марей Soft Grey,142580.0,179330.0,20.0,259 x 110 x 88 см,192 x 160 x 44 см,https://www.divan.ru/product/divan-marej-soft-grey,1,2025-08-26 04:49:45.066586
Диван прямой Сорен Textile Yellow,102890.0,122000.0,15.0,177 x 96 x 86 см,,https://www.divan.ru/product/divan-soren-textile-yellow,1,2025-08-26 04:49:45.066586
Диван прямой Лачи Velvet Yellow,51440.0,69080.0,25.0,198 x 92 x 90 см,198 x 130 x 45 см,https://www.divan.ru/product/divan-lachi-velvet-yellow,1,2025-08-26 04:49:45.066586
Диван прямой Данста Velvet Light,102890.0,138170.0,25.0,215 x 102 x 83 см,195 x 150 x 45 см,https://www.divan.ru/product/divan-dansta-velvet-light,1,2025-08-26 04:49:45.066586
Диван угловой Шера Velvet Olive,161690.0,191090.0,15.0,320 x 155 x 99 см,202 x 153 x 47 см,https://www.divan.ru/product/divan-uglovoj-shera-velvet-olive,1,2025-08-26 04:49:45.066586
Диван прямой Викс Textile Grafit,36740.0,39680.0,7.0,198 x 90 x 83 см,198 x 130 x 40 см,https://www.divan.ru/product/divan-viks-textile-grafit,1,2025-08-26 04:49:45.066586
Диван 49,,,,,,,1,2025-08-26 04:49:45.066586
Диван 50,,,,,,,1,2025-08-26 04:49:45.066586
Диван 51,,,,,,,1,2025-08-26 04:49:45.066586
Диван 52,,,,,,,1,2025-08-26 04:49:45.066586
Диван 53,,,,,,,1,2025-08-26 04:49:45.066586
Диван прямой Массе-М Мини Velvet Navy Blue,73490.0,86720.0,15.0,171 x 104 x 88 см,196 x 140 x 46 см,https://www.divan.ru/product/divan-pryamoj-masse-m-mini-velvet-navy-blue,1,2025-08-26 04:49:45.066586
Диван прямой Аронт Мини Velvet Smoke,83780.0,105830.0,20.0,186 x 105 x 73 см,203 x 140 x 45 см,https://www.divan.ru/product/divan-pryamoj-aront-mini-velvet-smoke,1,2025-08-26 04:49:45.066586
Диван прямой Спейс Velvet Olive,99950.0,136700.0,26.0,252 x 115 x 83 см,200 x 155 x 38 см,https://www.divan.ru/product/divan-spejs-velvet-olive,1,2025-08-26 04:49:45.066586
Диван прямой Филс-Мини 120 Velvet Terra,41150.0,58790.0,30.0,,,https://www.divan.ru/product/divan-pryamoj-fils-mini-120-velvet-terra,1,2025-08-26 04:49:45.066586
Диван угловой Нордика мини Velvet Yellow,88190.0,117590.0,25.0,175 x 155 x 92 см,200 x 160 x 45 см,https://www.divan.ru/product/divan-uglovoj-nordika-mini-velvet-yellow,1,2025-08-26 04:49:45.066586
Диван прямой Мелоу Velvet Eclipse,80840.0,101420.0,20.0,205 x 112 x 92 см,205 x 160 x 46 см,https://www.divan.ru/product/divan-pryamoj-melou-velvet-eclipse,1,2025-08-26 04:49:45.066586
Диван прямой Инес Vertical Blue,70550.0,108770.0,35.0,150 x 96 x 88 см,198 x 120 x 47 см,https://www.divan.ru/product/divan-ines-vertical-blue,1,2025-08-26 04:49:45.066586
Диван модульный Маиль-3 Textile Latte,255740.0,,,387 x 170 x 81 см,319 x 148 x 44 см,https://www.divan.ru/product/divan-modulnyj-mail-3-textile-latte,1,2025-08-26 04:49:45.066586
Диван угловой Аронт Мини Velvet Pink,88190.0,110240.0,20.0,186 x 151 x 73 см,206 x 141 x 44 см,https://www.divan.ru/product/divan-uglovoj-aront-mini-velvet-pink,1,2025-08-26 04:49:45.066586
Диван прямой Сваут Velvet Mustard,99950.0,127880.0,21.0,215 x 104 x 86 см,196 x 150 x 43 см,https://www.divan.ru/product/divan-svaut-velvet-mustard,1,2025-08-26 04:49:45.066586
Диван модульный Спейс-М 5 Lazy Midnight,290980.0,342430.0,15.0,439 x 235 x 83 см,396 x 156 x 39 см,https://www.divan.ru/product/divan-modulnyj-spejs-m-5-lazy-midnight,1,2025-08-26 04:49:45.066586
Диван угловой Аллаум Linia Stone,83780.0,105830.0,20.0,214 x 152 x 94 см,200 x 135 x 45 см,https://www.divan.ru/product/divan-uglovoj-allaum-linia-stone,1,2025-08-26 04:49:45.066586
Диван угловой Эдвин Velvet Terra,113180.0,151400.0,25.0,260 x 156 x 90 см,199 x 138 x 47 см,https://www.divan.ru/product/divan-uglovoj-edvin-velvet-terra,1,2025-08-26 04:49:45.066586
Диван модульный Brera-7 Velour Mix,263090.0,,,286 x 155 x 75 см,,https://www.divan.ru/product/modulnyj-divan-brera-7-velour-mix,1,2025-08-26 04:49:45.066586
Кушетка Ринт Bucle Yellow,32330.0,35270.0,8.0,130 x 55 x 84 см,,https://www.divan.ru/product/kushetka-rint-bucle-yellow,1,2025-08-26 04:49:45.066586
Диван прямой Виена Velvet Smoke,95540.0,129350.0,26.0,258 x 119 x 86 см,200 x 158 x 40 см,https://www.divan.ru/product/divan-viena-time-grey,1,2025-08-26 04:49:45.066586
Диван модульный Риббл-1 Bucle Mint,116110.0,,,243 x 108 x 72 см,,https://www.divan.ru/product/modulnyj-divan-ribbl-1-bucle-mint,1,2025-08-26 04:49:45.066586
Диван прямой Эби Velvet Coral,98480.0,152870.0,35.0,254 x 122 x 87 см,200 x 158 x 42 см,https://www.divan.ru/product/divan-ebi-velvet-coral,1,2025-08-26 04:49:45.066586
Диван модульный Спейс-М 1 Lazy Latte,124910.0,145490.0,14.0,272 x 112 x 83 см,249 x 156 x 39 см,https://www.divan.ru/product/divan-modulnyj-spejs-m-1-lazy-latte,1,2025-08-26 04:49:45.066586
Диван угловой Онте Bucle Eclipse,161690.0,191090.0,15.0,240 x 170 x 83 см,199 x 134 x 45 см,https://www.divan.ru/product/divan-uglovoj-onte-bucle-eclipse,1,2025-08-26 04:49:45.066586
Диван прямой Льери Мини Velvet Yellow,95540.0,136700.0,30.0,164 x 105 x 85 см,200 x 140 x 44 см,https://www.divan.ru/product/divan-leri-mini-velvet-yellow,1,2025-08-26 04:49:45.066586
Диван прямой Лонди Bunny Milk,80840.0,95540.0,15.0,168 x 90 x 75 см,,https://www.divan.ru/product/divan-londi-bunny-milk,1,2025-08-26 04:49:45.066586
Диван прямой Клаймар Velvet Terra,92600.0,124940.0,25.0,228 x 117 x 90 см,201 x 157 x 45 см,https://www.divan.ru/product/divan-klajmar-velvet-terra,1,2025-08-26 04:49:45.066586
